Categoria;Cidade;Pais;Customer Name;Data do Pedido;Código Nota Fiscal;Código Postal;Nome do Produto;Região;Segmento;Data de Envio;Tipo de Envio;Status do Envio;Estado;Subcategoria;Desconto %;Lucro;Quantidade;Valor da venda
Móveis;Henderson;United States;Claire Gute;08/11/2016;CA-2016-152156;42420;Bush Somerset Collection Bookcase;Sul;Pessoa Física;11/11/2016;Correios;Enviado no dia;Kentucky;Bookcases;0,00;42;2;262
Móveis;Henderson;United States;Claire Gute;08/11/2016;CA-2016-152156;42420;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;Sul;Pessoa Física;11/11/2016;Correios;Enviado no dia;Kentucky;Chairs;0,00;220;3;732
Materiais de Escritório;Los Angeles;United States;Darrin Van Huff;12/06/2016;CA-2016-138688;90036;Self-Adhesive Address Labels for Typewriters by Universal;Oeste;Corporativo;16/06/2016;Correios;Envio tardio;California;Labels;0,00;7;2;15
Móveis;Fort Lauderdale;United States;Sean O'Donnell;11/10/2015;US-2015-108966;33311;Bretford CR4500 Series Slim Rectangular Table;Sul;Pessoa Física;18/10/2015;Padrão;Envio tardio;Florida;Tables;0,45;-383;5;958
Materiais de Escritório;Fort Lauderdale;United States;Sean O'Donnell;11/10/2015;US-2015-108966;33311;Eldon Fold 'N Roll Cart System;Sul;Pessoa Física;18/10/2015;Padrão;Envio tardio;Florida;Storage;0,20;3;2;22
Móveis;Los Angeles;United States;Brosina Hoffman;09/06/2014;CA-2014-115812;90032;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;Oeste;Pessoa Física;14/06/2014;Padrão;Enviado com antecedência;California;Furnishings;0,00;14;7;49
Materiais de Escritório;Los Angeles;United States;Brosina Hoffman;09/06/2014;CA-2014-115812;90032;Newell 322;Oeste;Pessoa Física;14/06/2014;Padrão;Enviado com antecedência;California;Art;0,00;2;4;7
Tecnologia;Los Angeles;United States;Brosina Hoffman;09/06/2014;CA-2014-115812;90032;Mitel 5320 IP Phone VoIP phone;Oeste;Pessoa Física;14/06/2014;Padrão;Enviado com antecedência;California;Phones;0,20;91;6;907
Materiais de Escritório;Los Angeles;United States;Brosina Hoffman;09/06/2014;CA-2014-115812;90032;DXL Angle-View Binders with Locking Rings by Samsill;Oeste;Pessoa Física;14/06/2014;Padrão;Enviado com antecedência;California;Binders;0,20;6;3;19
Materiais de Escritório;Los Angeles;United States;Brosina Hoffman;09/06/2014;CA-2014-115812;90032;Belkin F5C206VTEL 6 Outlet Surge;Oeste;Pessoa Física;14/06/2014;Padrão;Enviado com antecedência;California;Appliances;0,00;34;5;115
Móveis;Los Angeles;United States;Brosina Hoffman;09/06/2014;CA-2014-115812;90032;Chromcraft Rectangular Conference Tables;Oeste;Pessoa Física;14/06/2014;Padrão;Enviado com antecedência;California;Tables;0,20;85;9;1.706
Tecnologia;Los Angeles;United States;Brosina Hoffman;09/06/2014;CA-2014-115812;90032;Konftel 250 Conference phone - Charcoal black;Oeste;Pessoa Física;14/06/2014;Padrão;Enviado com antecedência;California;Phones;0,20;68;4;911
Materiais de Escritório;Concord;United States;Andrew Allen;15/04/2017;CA-2017-114412;28027;Xerox 1967;Sul;Pessoa Física;20/04/2017;Padrão;Enviado com antecedência;North Carolina;Paper;0,20;5;3;16
